Framing,player_id,participant_code,strategy_changes,player_total_payoff,Strat1,P_s1
0,2,0xwx0wrp,31,580,9,0.128571429
0,2,17fpqn72,2,728,1,0.014285714
0,2,20cc9xq0,6,834,2,0.028571429
0,2,4txwixdq,13,936,2,0.028571429
0,2,6h8woyh9,6,972,6,0.085714286
0,2,cpep7vdg,20,826,5,0.071428571
0,2,d3nnqhj1,1,980,0,0
0,2,egrlpjt0,8,668,4,0.057142857
0,2,elxbu53y,10,824,5,0.071428571
0,2,enmax74b,6,902,4,0.057142857
0,2,fg9bbibz,14,890,1,0.014285714
0,2,gsgult9w,3,876,2,0.028571429
0,2,gyckpsyt,2,930,0,0
0,2,icec28hf,0,960,0,0
0,2,jt77i2bs,4,912,1,0.014285714
0,2,k7l2k1h7,16,960,3,0.042857143
0,2,no6j6c3d,25,874,4,0.057142857
0,2,o8yazhge,24,822,5,0.071428571
0,2,owd84sog,9,942,2,0.028571429
0,2,q9c5lo1x,29,728,9,0.128571429
0,2,st9ftz75,0,916,0,0
0,2,svszy7vv,11,756,10,0.142857143
0,2,swbsts7n,16,708,8,0.114285714
0,2,vnhsr39l,0,980,0,0
0,2,vntc9er4,0,972,0,0
0,2,x2gcqvwb,2,958,2,0.028571429
0,1,5xdc3466,18,798,19,0.271428571
0,1,6i6lsymy,14,773,14,0.2
0,1,7h7cf7jw,4,781,20,0.285714286
0,1,bhaakguo,1,974,2,0.028571429
0,1,bollw9mr,9,843,16,0.228571429
0,1,buocfmyx,7,872,6,0.085714286
0,1,buxstyu5,29,798,8,0.114285714
0,1,chdxrfak,7,855,19,0.271428571
0,1,crzbb1pp,17,742,5,0.071428571
0,1,eze54kxk,19,833,8,0.114285714
0,1,gauqrm0f,8,898,14,0.2
0,1,i8qt3jxw,5,904,6,0.085714286
0,1,jiebe12q,12,930,5,0.071428571
0,1,k5s3f5ne,15,832,7,0.1
0,1,kdhmpvys,3,958,4,0.057142857
0,1,o4plj56u,14,889,2,0.028571429
0,1,ogmameyc,3,899,5,0.071428571
0,1,qmwwptcx,1,955,1,0.014285714
0,1,s48es8wr,22,805,11,0.157142857
0,1,t1tzrcmi,7,965,2,0.028571429
0,1,tcleibkp,18,791,9,0.128571429
0,1,ursirs43,23,789,15,0.214285714
0,1,w8d4usex,17,932,11,0.157142857
0,1,wh4u3tph,0,980,0,0
0,1,xurwn6zz,23,916,11,0.157142857
0,1,ycniewr6,7,893,4,0.057142857
1,2,2fsj9qvt,2,978,1,0.014285714
1,2,3u51j68w,22,994,5,0.071428571
1,2,6fsse8c1,38,578,12,0.171428571
1,2,6ub1usmw,2,982,1,0.014285714
1,2,6zqxv643,0,848,0,0
1,2,7lpmb9fe,26,708,8,0.114285714
1,2,b689r07v,27,826,8,0.114285714
1,2,b7ctrqau,0,704,0,0
1,2,e8jis7nf,8,686,1,0.014285714
1,2,ftednx2p,0,868,0,0
1,2,gs3duosm,16,728,3,0.042857143
1,2,i18sqw1f,0,976,0,0
1,2,i2nn9ow6,11,654,16,0.228571429
1,2,i7rlg7cc,2,758,1,0.014285714
1,2,iyu7t1vc,19,702,11,0.157142857
1,2,kcee9wcd,28,674,4,0.057142857
1,2,mv7b2pla,30,670,10,0.142857143
1,2,qaes30x6,3,976,1,0.014285714
1,2,qkypffhk,0,980,0,0
1,2,qxal8ioj,12,842,2,0.028571429
1,2,vrtjenol,20,746,5,0.071428571
1,2,x6hhcpwc,4,936,1,0.014285714
1,2,xwsl0cj6,0,864,0,0
1,2,y9iygxxf,2,862,0,0
1,1,0bmasffv,15,881,20,0.285714286
1,1,265l99ai,2,966,1,0.014285714
1,1,3cruabz9,21,893,11,0.157142857
1,1,3fmd8mik,0,980,0,0
1,1,7xjh9hwo,2,768,18,0.257142857
1,1,8gckk19h,26,896,9,0.128571429
1,1,9smjkz19,0,969,0,0
1,1,g7ab12q3,15,791,16,0.228571429
1,1,i16qw3id,33,760,14,0.2
1,1,ipmny9rq,2,977,1,0.014285714
1,1,izo49mch,10,772,13,0.185714286
1,1,or50tpef,28,808,14,0.2
1,1,ouaa8yuq,24,831,8,0.114285714
1,1,owlwqap1,33,761,10,0.142857143
1,1,oy8wn5im,25,879,7,0.1
1,1,r3oyr52t,6,828,0,0
1,1,rj5j60np,14,801,14,0.2
1,1,sj2ft9f6,28,712,15,0.214285714
1,1,u9xqjsvk,39,801,11,0.157142857
1,1,uwz2vbjr,1,773,19,0.271428571
1,1,xtfge1ys,13,845,18,0.257142857
1,1,yh9eenkb,6,922,8,0.114285714
1,1,z50vt4g0,3,952,2,0.028571429
1,1,zo9j0hsi,21,732,7,0.1